,album,track_number,id,name,uri,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
54,Stiff Upper Lip,10,1B7YWCnmn6bWii1Pyy8cfK,Come and Get It,spotify:track:1B7YWCnmn6bWii1Pyy8cfK,242600,0.0299,0.51,0.586,0.0157,0.144,-5.226,0.0294,89.778,0.611,40
55,Stiff Upper Lip,11,2filqLyVGxteotSCD8b4Jt,All Screwed Up,spotify:track:2filqLyVGxteotSCD8b4Jt,276400,0.0216,0.569,0.591,0.0014,0.0771,-3.962,0.037,102.686,0.578,38
56,Stiff Upper Lip,12,3rwdLlTki1Y5YLU9DOU4ks,Give It Up,spotify:track:3rwdLlTki1Y5YLU9DOU4ks,235693,0.0069,0.548,0.722,0.000123,0.064,-3.858,0.0317,129.62,0.92,43
57,Ballbreaker,1,1gij27s31tFKcTHa8f1u4g,Hard as a Rock,spotify:track:1gij27s31tFKcTHa8f1u4g,271000,0.0018,0.481,0.724,0.18,0.11,-5.642,0.0324,116.341,0.2,61
58,Ballbreaker,2,56OSb0BpuPI9tp4tDvhC8i,Cover You in Oil,spotify:track:56OSb0BpuPI9tp4tDvhC8i,272640,0.00861,0.607,0.74,0.000125,0.345,-5.822,0.0339,98.059,0.804,42
59,Ballbreaker,3,6ijCRYmsTbeOWp4qEgl9e0,The Furor,spotify:track:6ijCRYmsTbeOWp4qEgl9e0,250693,0.000138,0.491,0.714,0.529,0.2,-5.515,0.0266,97.86,0.26,41
60,Ballbreaker,4,2eeDDhFzhTi78mVOQMEnDw,Boogie Man,spotify:track:2eeDDhFzhTi78mVOQMEnDw,246973,0.0068,0.485,0.603,0.0356,0.227,-6.608,0.0594,111.749,0.468,42
61,Ballbreaker,5,6EV7R20p1qHi1HwldZorHi,The Honey Roll,spotify:track:6EV7R20p1qHi1HwldZorHi,335026,0.00185,0.305,0.675,0.0165,0.113,-6.781,0.0336,176.24,0.525,38
62,Ballbreaker,6,4iAZhaVvrX1d1By5f0QWSB,Burnin' Alive,spotify:track:4iAZhaVvrX1d1By5f0QWSB,305506,0.00393,0.632,0.688,0.095,0.0895,-6.149,0.0311,113.187,0.612,40
63,Ballbreaker,7,5Pa0DPtpyGUlpRJgxq9BMk,Hail Caesar,spotify:track:5Pa0DPtpyGUlpRJgxq9BMk,314426,0.00263,0.475,0.639,0.0158,0.15,-7.902,0.0421,125.167,0.656,43
64,Ballbreaker,8,0uCshTeOj3C39Qj4bS539q,Love Bomb,spotify:track:0uCshTeOj3C39Qj4bS539q,194133,0.0103,0.559,0.709,0.498,0.122,-5.872,0.0359,118.432,0.765,36
65,Ballbreaker,9,0vT0i6fUPaE0UB4BO74bFI,Caught with Your Pants Down,spotify:track:0vT0i6fUPaE0UB4BO74bFI,254533,0.0079,0.504,0.73,0.00291,0.321,-7.346,0.042,143.356,0.781,36
66,Ballbreaker,10,4KytLdPRCctWfEvXRhbHB4,Whiskey on the Rocks,spotify:track:4KytLdPRCctWfEvXRhbHB4,275133,0.00151,0.432,0.613,0.00285,0.0725,-5.679,0.0315,94.119,0.713,40
67,Ballbreaker,11,1TJX5KxBVqwqPPUPH16MFL,Ballbreaker,spotify:track:1TJX5KxBVqwqPPUPH16MFL,270760,0.000734,0.475,0.862,0.00825,0.121,-5.781,0.0629,127.253,0.41,56
68,Live,1,4f5V6rbtGt67AWtNGRS9vx,Thunderstruck - Live - 1991,spotify:track:4f5V6rbtGt67AWtNGRS9vx,395226,0.000771,0.255,0.973,0.0385,0.728,-5.579,0.255,135.092,0.0674,44
69,Live,2,78OmqSJbNCPvzoewaDRJvy,Shoot to Thrill - Live - 1991,spotify:track:78OmqSJbNCPvzoewaDRJvy,320466,1.58e-05,0.298,0.974,0.87,0.862,-4.855,0.0662,147.311,0.561,38
70,Live,3,5dvfYJR8yXaO9SHtqJWeL5,Back In Black - Live - 1991,spotify:track:5dvfYJR8yXaO9SHtqJWeL5,266533,0.000585,0.466,0.984,0.000782,0.95,-4.211,0.0793,96.558,0.427,41
71,Live,4,56uIblkbP8nt42e4h7NYcC,Who Made Who - Live - 1991,spotify:track:56uIblkbP8nt42e4h7NYcC,315000,0.000862,0.451,0.97,0.403,0.977,-5.346,0.152,129.897,0.222,37
72,Live,5,1dJOOi2Byt4uWFDJWqR6AR,Heatseeker - Live - 1991,spotify:track:1dJOOi2Byt4uWFDJWqR6AR,215933,0.000932,0.407,0.987,0.256,0.954,-5.306,0.0738,95.096,0.349,38
73,Live,6,5fMM9S5N2MloZXHCT08WC6,The Jack - Live - 1991,spotify:track:5fMM9S5N2MloZXHCT08WC6,416626,0.000357,0.286,0.808,0.0336,0.944,-6.182,0.0682,74.44,0.394,34
74,Live,7,6prcnLMTKrcHzvp4XwUnUj,Moneytalks - Live - 1991,spotify:track:6prcnLMTKrcHzvp4XwUnUj,258266,0.000422,0.468,0.954,0.881,0.958,-4.337,0.0595,122.317,0.485,39
75,Live,8,3aSUhKMYQkfEOjkdBwWcoC,Hells Bells - Live - 1991,spotify:track:3aSUhKMYQkfEOjkdBwWcoC,360360,6.29e-05,0.322,0.931,0.626,0.878,-5.794,0.0581,113.126,0.27,40
76,Live,9,4SUhlKM0n3ejiHQwqTjb9F,Dirty Deeds Done Dirt Cheap - Live - 1991,spotify:track:4SUhlKM0n3ejiHQwqTjb9F,302093,0.00139,0.469,0.977,0.103,0.954,-4.382,0.136,140.402,0.431,40
77,Live,10,4eoGQROWDgOs43F0WEYR8a,Whole Lotta Rosie - Live - 1991,spotify:track:4eoGQROWDgOs43F0WEYR8a,269973,4.01e-05,0.351,0.984,0.311,0.971,-5.412,0.137,98.658,0.272,37
78,Live,11,4QR6LcLBL8bLDd6lbNwmbC,You Shook Me All Night Long - Live - 1991,spotify:track:4QR6LcLBL8bLDd6lbNwmbC,232600,0.00141,0.461,0.981,0.0123,0.929,-4.335,0.0989,138.041,0.675,40
79,Live,12,5Mu7WviNvT9yJeF79V1HS5,Highway to Hell - Live - 1991,spotify:track:5Mu7WviNvT9yJeF79V1HS5,237200,0.00552,0.49,0.982,0.0575,0.968,-5.093,0.113,120.319,0.314,37
80,Live,13,6MWkewqqntx7y6AyOqEoXM,T.N.T. - Live - 1991,spotify:track:6MWkewqqntx7y6AyOqEoXM,227706,0.00219,0.443,0.98,0.0024,0.419,-4.727,0.135,128.302,0.452,36
81,Live,14,5v2EJjf4VcVvXQT5P84twb,For Those About to Rock (We Salute You) - Live - 1991,spotify:track:5v2EJjf4VcVvXQT5P84twb,437640,7.64e-05,0.29,0.978,0.475,0.879,-4.425,0.151,131.988,0.316,35
82,Live (Collector's Edition),1,726FgWV2ZRP5rkJ5MfGbSr,Thunderstruck - Live - 1991,spotify:track:726FgWV2ZRP5rkJ5MfGbSr,395226,0.000873,0.252,0.975,0.0657,0.747,-5.548,0.273,134.84,0.0721,42
83,Live (Collector's Edition),2,4D3qnFFio2eUuiwCM4O023,Shoot to Thrill - Live - 1991,spotify:track:4D3qnFFio2eUuiwCM4O023,320933,1.71e-05,0.304,0.974,0.775,0.892,-4.874,0.0681,145.909,0.555,40
84,Live (Collector's Edition),3,1MfedNodDKkvTVkNkwIBSo,Back In Black - Live - 1991,spotify:track:1MfedNodDKkvTVkNkwIBSo,267373,0.000513,0.46,0.984,0.000703,0.937,-4.239,0.0657,96.469,0.447,39
85,Live (Collector's Edition),4,5KCCaVQOSe4gLzyGJ3oZnL,Sin City - Live - 1991,spotify:track:5KCCaVQOSe4gLzyGJ3oZnL,340666,0.000559,0.352,0.924,0.519,0.709,-6.245,0.0858,132.949,0.387,36
86,Live (Collector's Edition),5,5bx6dKRA1X04ZeTfxCNJMA,Who Made Who - Live - 1991,spotify:track:5bx6dKRA1X04ZeTfxCNJMA,315066,0.000794,0.455,0.969,0.383,0.974,-5.368,0.151,129.969,0.222,37
87,Live (Collector's Edition),6,6WnA9KrJ3r9YfJOmxmZRaC,Heatseeker - Live - 1991,spotify:track:6WnA9KrJ3r9YfJOmxmZRaC,216333,0.000732,0.414,0.984,0.351,0.938,-5.259,0.0745,95.084,0.338,36
88,Live (Collector's Edition),7,3dduxlMxKeJzAYMBWjCHbP,Fire Your Guns - Live - 1991,spotify:track:3dduxlMxKeJzAYMBWjCHbP,218866,0.00054,0.413,0.982,0.0105,0.889,-6.087,0.0855,104.958,0.22,36
89,Live (Collector's Edition),8,6OvZ0eYTiRbvE4yflbKlnt,Jailbreak - Live - 1991,spotify:track:6OvZ0eYTiRbvE4yflbKlnt,881800,0.0067,0.318,0.847,0.252,0.934,-6.69,0.11,131.082,0.31,38
90,Live (Collector's Edition),9,2HBUDl71pACQkvOnhpo1ra,The Jack - Live - 1991,spotify:track:2HBUDl71pACQkvOnhpo1ra,416666,0.00028,0.281,0.813,0.0333,0.959,-6.187,0.0742,74.257,0.403,34
91,Live (Collector's Edition),10,6TiX53RD1JzwV5saZRIt5z,The Razors Edge - Live - 1991,spotify:track:6TiX53RD1JzwV5saZRIt5z,274466,3.72e-05,0.276,0.937,0.653,0.952,-5.821,0.0792,113.931,0.349,34
92,Live (Collector's Edition),11,6r9ruVF8mF1QTH1J2S89G3,Dirty Deeds Done Dirt Cheap - Live - 1991,spotify:track:6r9ruVF8mF1QTH1J2S89G3,302693,0.00115,0.466,0.982,0.174,0.949,-4.392,0.137,140.443,0.455,36
93,Live (Collector's Edition),12,6clRKCagfZikejWk1er68O,Moneytalks - Live - 1991,spotify:track:6clRKCagfZikejWk1er68O,269840,0.000348,0.468,0.956,0.85,0.968,-4.379,0.0611,122.316,0.539,36
94,Live (Collector's Edition),1,3zEg8Ztp2RNK1rN2fNuUyu,Hells Bells - Live - 1991,spotify:track:3zEg8Ztp2RNK1rN2fNuUyu,360866,6.75e-05,0.28,0.929,0.541,0.477,-5.815,0.0588,113.097,0.238,36
95,Live (Collector's Edition),2,5TXfht88qy2zLb13TIu47d,Are You Ready - Live - 1991,spotify:track:5TXfht88qy2zLb13TIu47d,272866,0.00323,0.465,0.951,0.184,0.899,-4.228,0.0699,110.475,0.371,35
96,Live (Collector's Edition),3,7ks1X6WVC5RI52ljlbG66p,That's the Way I Wanna Rock 'N' Roll - Live - 1991,spotify:track:7ks1X6WVC5RI52ljlbG66p,236026,0.000393,0.241,0.982,0.0188,0.939,-5.888,0.183,188.888,0.38,34
97,Live (Collector's Edition),4,3orPMvpxWGqzWhYzpuXeAB,High Voltage - Live - 1991,spotify:track:3orPMvpxWGqzWhYzpuXeAB,632133,5.56e-05,0.509,0.944,0.778,0.952,-5.319,0.0457,141.243,0.748,36
98,Live (Collector's Edition),5,0leqOXgFI7Klsd1d82sAqr,You Shook Me All Night Long - Live - 1991,spotify:track:0leqOXgFI7Klsd1d82sAqr,233133,0.00128,0.461,0.981,0.00743,0.942,-4.353,0.1,138.031,0.698,36
99,Live (Collector's Edition),6,0V6mxSZnwc59wL8KJ8x6PM,Whole Lotta Rosie - Live - 1991,spotify:track:0V6mxSZnwc59wL8KJ8x6PM,270200,4.26e-05,0.245,0.983,0.394,0.972,-5.447,0.125,98.613,0.325,36
100,Live (Collector's Edition),7,6DULdxBZGGDEf5VKVoIMgC,Let There Be Rock - Live - 1991,spotify:track:6DULdxBZGGDEf5VKVoIMgC,736133,0.000581,0.272,0.965,0.518,0.952,-5.288,0.185,110.75,0.107,35
101,Live (Collector's Edition),8,2CrEgRDdADE4td2Ot6KaOx,Bonny - Live - 1991,spotify:track:2CrEgRDdADE4td2Ot6KaOx,63360,0.303,0.111,0.848,0.962,0.712,-9.051,0.0929,152.868,0.224,31
102,Live (Collector's Edition),9,3Hbbkj9PerBqZJ9DjINjN6,Highway to Hell - Live - 1991,spotify:track:3Hbbkj9PerBqZJ9DjINjN6,233000,0.00387,0.491,0.985,0.0411,0.833,-4.849,0.113,120.384,0.305,36
103,Live (Collector's Edition),10,1Eaqc5EdMMvFcI4Z1Wh4VG,T.N.T. - Live - 1991,spotify:track:1Eaqc5EdMMvFcI4Z1Wh4VG,228160,0.00274,0.445,0.977,0.00296,0.417,-4.766,0.144,128.263,0.474,36
104,Live (Collector's Edition),11,7aslZ5LcxlHxizdVSfvZbH,For Those About to Rock (We Salute You) - Live - 1991,spotify:track:7aslZ5LcxlHxizdVSfvZbH,437640,7.56e-05,0.291,0.979,0.514,0.857,-4.451,0.155,131.807,0.329,35
105,The Razors Edge,1,57bgtoPSgt236HzfBOd8kj,Thunderstruck,spotify:track:57bgtoPSgt236HzfBOd8kj,292880,0.000147,0.501,0.889,0.0114,0.217,-5.175,0.0364,133.519,0.257,81
106,The Razors Edge,2,0cLvKgKkqlaJ9UajbitH4l,Fire Your Guns,spotify:track:0cLvKgKkqlaJ9UajbitH4l,173746,0.00135,0.551,0.96,6.54e-06,0.0941,-3.284,0.0508,98.879,0.515,59
