,album,track_number,id,name,uri,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
143,Fly On the Wall,8,44WgrjG7hWuKqx6KL4AyCR,Hell or High Water,spotify:track:44WgrjG7hWuKqx6KL4AyCR,272346,0.00209,0.405,0.966,0.192,0.164,-5.096,0.0733,116.395,0.476,34
144,Fly On the Wall,9,6FCp2G9cQKTBl2nd34vciA,Back in Business,spotify:track:6FCp2G9cQKTBl2nd34vciA,264373,0.0128,0.536,0.972,0.878,0.1,-3.983,0.0415,107.994,0.482,54
145,Fly On the Wall,10,0limokbfqb60BMM7c7Z2HE,Send for the Man,spotify:track:0limokbfqb60BMM7c7Z2HE,216880,0.0109,0.484,0.942,0.89,0.357,-5.452,0.0554,105.999,0.594,32
146,Flick of the Switch,1,1P0SDqCttZZnmSU7YtPxQY,Rising Power,spotify:track:1P0SDqCttZZnmSU7YtPxQY,223786,0.00506,0.324,0.871,0.00799,0.186,-4.255,0.0414,186.384,0.79,39
147,Flick of the Switch,2,6SRadf7zJ0PdkSqQ4Sqkvm,This House Is on Fire,spotify:track:6SRadf7zJ0PdkSqQ4Sqkvm,203493,0.00145,0.368,0.95,0.0268,0.469,-3.394,0.0491,114.152,0.322,36
148,Flick of the Switch,3,0oIox8T3bdGZnhQKnaDK2a,Flick of the Switch,spotify:track:0oIox8T3bdGZnhQKnaDK2a,193600,3.37e-05,0.441,0.907,0.143,0.088,-4.427,0.039,129.489,0.699,42
149,Flick of the Switch,4,05gjrT0jcQ0fRkHuYgJTdR,Nervous Shakedown,spotify:track:05gjrT0jcQ0fRkHuYgJTdR,267080,0.000228,0.415,0.793,0.251,0.0871,-4.593,0.0338,83.039,0.813,41
150,Flick of the Switch,5,0qKMZuEM8aejK1wz6Dmn8M,Landslide,spotify:track:0qKMZuEM8aejK1wz6Dmn8M,237760,3.48e-05,0.487,0.966,0.774,0.317,-4.163,0.0609,118.998,0.511,35
151,Flick of the Switch,6,31F5kR9fPxI7lBV0Stfl4V,Guns for Hire,spotify:track:31F5kR9fPxI7lBV0Stfl4V,204720,0.00331,0.491,0.902,0.354,0.0695,-3.759,0.0493,128.423,0.825,54
152,Flick of the Switch,7,5h8XlKa4TvIhOcJXsPvDX7,Deep in the Hole,spotify:track:5h8XlKa4TvIhOcJXsPvDX7,199506,0.000958,0.3,0.784,0.0905,0.457,-4.559,0.0386,175.315,0.763,33
153,Flick of the Switch,8,1FeFtmh1lljY1AISeZLrhf,Bedlam in Belgium,spotify:track:1FeFtmh1lljY1AISeZLrhf,232226,0.000765,0.479,0.809,0.142,0.127,-4.214,0.0466,127.728,0.68,35
154,Flick of the Switch,9,4wL7XxJ7DNtIao5EaynvuP,Badlands,spotify:track:4wL7XxJ7DNtIao5EaynvuP,218560,7.79e-05,0.503,0.891,0.772,0.468,-3.966,0.0311,106.525,0.485,35
155,Flick of the Switch,10,79Tq4tCfNGFJChySkOS5Dy,Brain Shake,spotify:track:79Tq4tCfNGFJChySkOS5Dy,249200,2.46e-05,0.274,0.961,0.11,0.0843,-3.988,0.075,166.176,0.573,32
156,For Those About to Rock (We Salute You),1,17lu4tymfnhmcIDlzBbtAb,For Those About to Rock (We Salute You),spotify:track:17lu4tymfnhmcIDlzBbtAb,344240,0.000367,0.371,0.917,0.422,0.49,-5.724,0.102,133.553,0.477,64
157,For Those About to Rock (We Salute You),2,7KGbYZv593eAMISQjYqTDT,I Put the Finger on You,spotify:track:7KGbYZv593eAMISQjYqTDT,205706,0.000173,0.483,0.98,0.661,0.169,-4.033,0.063,133.816,0.765,40
158,For Those About to Rock (We Salute You),3,1EJIEPzahlUiev5IQ1HnuL,Let's Get It Up,spotify:track:1EJIEPzahlUiev5IQ1HnuL,234026,0.000676,0.514,0.905,0.0345,0.0815,-4.173,0.063,108.942,0.68,46
159,For Those About to Rock (We Salute You),4,31KSQBbHS275MsHgHmTD21,Inject the Venom,spotify:track:31KSQBbHS275MsHgHmTD21,210893,0.00019,0.272,0.907,0.039,0.186,-4.592,0.0707,177.224,0.564,41
160,For Those About to Rock (We Salute You),5,1is13OusVjtwAvLx5PcxcZ,Snowballed,spotify:track:1is13OusVjtwAvLx5PcxcZ,203133,1.59e-05,0.269,0.955,0.861,0.127,-4.838,0.0637,152.238,0.675,37
161,For Those About to Rock (We Salute You),6,5ahPl557niKxia8Kquw1yh,Evil Walks,spotify:track:5ahPl557niKxia8Kquw1yh,263666,1.43e-05,0.479,0.886,0.6,0.0793,-4.642,0.0351,100.436,0.489,42
162,For Those About to Rock (We Salute You),7,3zR16RvuoDiglmh4iTacvN,C.O.D.,spotify:track:3zR16RvuoDiglmh4iTacvN,199866,0.000833,0.509,0.937,0.531,0.133,-4.698,0.0586,118.451,0.654,39
163,For Those About to Rock (We Salute You),8,1W0rNaAXmNzvfgp47JzcVQ,Breaking the Rules,spotify:track:1W0rNaAXmNzvfgp47JzcVQ,263426,0.000434,0.589,0.875,0.369,0.0652,-5.067,0.0398,126.933,0.479,36
164,For Those About to Rock (We Salute You),9,4NQJn1aSV9r6UmYErgzS4s,Night of the Long Knives,spotify:track:4NQJn1aSV9r6UmYErgzS4s,205760,1.76e-05,0.379,0.953,0.576,0.154,-3.444,0.0412,98.842,0.388,39
165,For Those About to Rock (We Salute You),10,124CQLjNlenz6CTKVCV931,Spellbound,spotify:track:124CQLjNlenz6CTKVCV931,279426,2.89e-05,0.33,0.805,0.837,0.102,-6.115,0.0333,95.339,0.36,38
166,Back In Black,1,69QHm3pustz01CJRwdo20z,Hells Bells,spotify:track:69QHm3pustz01CJRwdo20z,312293,0.00532,0.389,0.873,0.0055,0.273,-4.768,0.0475,106.767,0.303,71
167,Back In Black,2,0C80GCp0mMuBzLf3EAXqxv,Shoot to Thrill,spotify:track:0C80GCp0mMuBzLf3EAXqxv,317426,0.000239,0.457,0.904,0.0879,0.396,-5.303,0.0747,141.038,0.48,72
168,Back In Black,3,6Th6ND8RQPywiyelecP5Lf,What Do You Do for Money Honey,spotify:track:6Th6ND8RQPywiyelecP5Lf,215533,0.00533,0.532,0.858,2.13e-06,0.751,-5.023,0.0599,125.698,0.495,54
169,Back In Black,4,6rAy2MsMUabbqu2VygrblP,Givin the Dog a Bone,spotify:track:6rAy2MsMUabbqu2VygrblP,211760,0.0704,0.525,0.975,2.22e-05,0.231,-4.372,0.0572,132.686,0.736,53
170,Back In Black,5,5XeMsYb1rWxQL1bUUaZajn,Let Me Put My Love Into You,spotify:track:5XeMsYb1rWxQL1bUUaZajn,255266,0.115,0.4,0.902,0.000116,0.139,-4.385,0.0523,105.659,0.632,53
171,Back In Black,6,08mG3Y1vljYA6bvDt4Wqkj,Back In Black,spotify:track:08mG3Y1vljYA6bvDt4Wqkj,255493,0.011,0.31,0.7,0.00965,0.0828,-5.678,0.047,188.386,0.763,82
172,Back In Black,7,2SiXAy7TuUkycRVbbWDEpo,You Shook Me All Night Long,spotify:track:2SiXAy7TuUkycRVbbWDEpo,210173,0.00287,0.532,0.767,0.000513,0.39,-5.509,0.0574,127.361,0.755,79
173,Back In Black,8,4dDurgTN3eGyU0ghzFJ0T1,Have a Drink on Me,spotify:track:4dDurgTN3eGyU0ghzFJ0T1,238466,0.00167,0.421,0.889,0.00838,0.654,-5.166,0.0545,122.424,0.424,60
174,Back In Black,9,2MCUmp0I98gsJBmey7DfZS,Shake a Leg,spotify:track:2MCUmp0I98gsJBmey7DfZS,245666,0.0234,0.417,0.942,0.00857,0.317,-4.225,0.0852,152.346,0.618,52
175,Back In Black,10,6J17MkMmuzBiIOjRH6MOBZ,Rock and Roll Ain't Noise Pollution,spotify:track:6J17MkMmuzBiIOjRH6MOBZ,266040,0.041,0.576,0.659,0.0,0.0587,-5.617,0.0383,94.853,0.717,62
176,Highway to Hell,1,2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,spotify:track:2zYzyRzz6pRmhPzyfMEC8s,208400,0.0591,0.573,0.913,0.00173,0.156,-4.793,0.132,115.715,0.422,83
177,Highway to Hell,2,6Wn3pdFtAcnYJyJVITwt7N,Girls Got Rhythm,spotify:track:6Wn3pdFtAcnYJyJVITwt7N,203293,0.0514,0.511,0.978,0.000999,0.358,-4.27,0.154,137.792,0.544,62
178,Highway to Hell,3,5xquYn2sr3uEcyuKU9BmCJ,Walk All Over You,spotify:track:5xquYn2sr3uEcyuKU9BmCJ,310000,0.00795,0.233,0.869,0.0216,0.251,-4.652,0.0646,162.021,0.4,54
179,Highway to Hell,4,2j0zExWFB0PowLOeoZosjK,Touch Too Much,spotify:track:2j0zExWFB0PowLOeoZosjK,266266,0.0373,0.525,0.907,3.6e-05,0.309,-4.301,0.0963,123.102,0.607,62
180,Highway to Hell,5,7sZKoFbEu4mPuCMX5cxLSb,Beating Around the Bush,spotify:track:7sZKoFbEu4mPuCMX5cxLSb,235706,0.00103,0.476,0.891,0.103,0.17,-5.733,0.102,115.755,0.463,50
181,Highway to Hell,6,6pivm7pNF4GyBkHNGseHCS,Shot Down in Flames,spotify:track:6pivm7pNF4GyBkHNGseHCS,202866,0.00165,0.531,0.863,0.132,0.884,-4.534,0.0809,130.762,0.652,55
182,Highway to Hell,7,7HbHwtTGM3kCjDtmP00x4h,Get It Hot,spotify:track:7HbHwtTGM3kCjDtmP00x4h,154506,0.000514,0.648,0.832,0.564,0.0951,-4.635,0.0329,129.854,0.834,48
183,Highway to Hell,8,7zscdQe9CjzXnqT3P1Ey7K,If You Want Blood (You've Got It),spotify:track:7zscdQe9CjzXnqT3P1Ey7K,274226,0.0299,0.487,0.931,0.15,0.43,-4.001,0.117,141.242,0.54,60
184,Highway to Hell,9,1Kbc8nH6BhsWnTuM22qypl,Love Hungry Man,spotify:track:1Kbc8nH6BhsWnTuM22qypl,257173,0.0019,0.51,0.838,0.0684,0.24,-5.026,0.0519,120.184,0.55,57
185,Highway to Hell,10,7w04gIWA7mIbqR03Ghyrkl,Night Prowler,spotify:track:7w04gIWA7mIbqR03Ghyrkl,387960,0.0237,0.25,0.73,0.0134,0.181,-5.002,0.0624,197.194,0.483,50
