,album,track_number,id,name,uri,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,preview_url
40,Physical Graffiti (Deluxe Edition),2,23goCwsEJKoyFMl0f1SU9n,Bron-Yr-Aur - 2012 Remaster,spotify:track:23goCwsEJKoyFMl0f1SU9n,126560,0.719,0.34,0.287,0.562,0.0874,-17.333,0.0374,171.904,0.248,0,https://p.scdn.co/mp3-preview/ab22a1143d38855df9bea7705151ad5a39b4166d?cid=ba0aefea59a44616bc6703a7294d312d
41,Physical Graffiti (Deluxe Edition),3,0PNjhX1zjJnTc836yT9Y5R,Down by the Seaside - 2012 Remaster,spotify:track:0PNjhX1zjJnTc836yT9Y5R,315507,0.754,0.395,0.491,0.261,0.132,-10.813,0.029,97.081,0.451,0,https://p.scdn.co/mp3-preview/663116f4aa5d80dcdbfbb36903dc5d853e1671f1?cid=ba0aefea59a44616bc6703a7294d312d
42,Physical Graffiti (Deluxe Edition),4,7pmkcEoOF2DbsQfAY2wA71,Ten Years Gone - 2012 Remaster,spotify:track:7pmkcEoOF2DbsQfAY2wA71,394920,0.559,0.545,0.416,0.00496,0.0369,-11.979,0.0433,76.872,0.295,0,https://p.scdn.co/mp3-preview/999535e42e16555e76a06d8ce589c0bb40117ba9?cid=ba0aefea59a44616bc6703a7294d312d
43,Physical Graffiti (Deluxe Edition),5,2r8Nim4kXVp1XI6f0xBKCK,Night Flight - 2012 Remaster,spotify:track:2r8Nim4kXVp1XI6f0xBKCK,218253,0.274,0.511,0.722,0.00808,0.057,-9.625,0.0308,100.292,0.541,0,https://p.scdn.co/mp3-preview/b18d7a98688525446ec41eee6641fb163fd7f3a5?cid=ba0aefea59a44616bc6703a7294d312d
44,Physical Graffiti (Deluxe Edition),6,4Z7dtGrkpx6eFenB2iSjXv,The Wanton Song - 2012 Remaster,spotify:track:4Z7dtGrkpx6eFenB2iSjXv,248720,0.00414,0.498,0.746,0.0249,0.108,-8.958,0.0471,110.815,0.561,0,https://p.scdn.co/mp3-preview/5e3ae015304863ffa33d02bec37239300ea65901?cid=ba0aefea59a44616bc6703a7294d312d
45,Physical Graffiti (Deluxe Edition),7,6IeXKr9RKLe9BSfmvND8tJ,Boogie with Stu - 2012 Remaster,spotify:track:6IeXKr9RKLe9BSfmvND8tJ,232730,0.627,0.632,0.927,0.817,0.0571,-10.163,0.049,132.722,0.976,0,https://p.scdn.co/mp3-preview/ab7b093578dc6c010344ae7aaa9f675a9ad73af8?cid=ba0aefea59a44616bc6703a7294d312d
46,Physical Graffiti (Deluxe Edition),8,6EPl4Q0c8ia10KsMMMidcM,Black Country Woman - 2012 Remaster,spotify:track:6EPl4Q0c8ia10KsMMMidcM,264630,0.655,0.759,0.815,1.18e-05,0.159,-9.929,0.052,127.569,0.599,0,https://p.scdn.co/mp3-preview/582077c57cab284c00ba2ed0fdbc30de88dbe246?cid=ba0aefea59a44616bc6703a7294d312d
47,Physical Graffiti (Deluxe Edition),9,4H3eHwq18T3F5QmzyJlAlL,Sick Again - 2012 Remaster,spotify:track:4H3eHwq18T3F5QmzyJlAlL,282320,0.3,0.431,0.909,0.00342,0.462,-8.899,0.0399,113.201,0.55,0,https://p.scdn.co/mp3-preview/2cd2bffbed61f1c4008cf64455f1d8b184686832?cid=ba0aefea59a44616bc6703a7294d312d
48,Physical Graffiti (Deluxe Edition),1,0TU7sGHtvS5veAMssMe9mH,Brandy & Coke - Trampled Under Foot; Initial / Rough Mix,spotify:track:0TU7sGHtvS5veAMssMe9mH,339213,0.137,0.642,0.788,0.0256,0.0857,-10.002,0.0355,111.652,0.889,0,https://p.scdn.co/mp3-preview/4b6b48af0842a4b4d94675d281f5892f59cf6231?cid=ba0aefea59a44616bc6703a7294d312d
49,Physical Graffiti (Deluxe Edition),2,6OIOLkLhJ6XhuE4wutshE7,Sick Again - Early Version,spotify:track:6OIOLkLhJ6XhuE4wutshE7,142800,0.454,0.545,0.841,0.616,0.0845,-11.555,0.036,115.241,0.829,0,https://p.scdn.co/mp3-preview/179de357900d158b4cd5e8c2e921f072fde0ccd9?cid=ba0aefea59a44616bc6703a7294d312d
